source,target,weight,group
crow,jim,0.8580831024729044,black
german,japan,0.6991099335491461,black
corp,air,0.6729490821520758,white
corp,air,0.6111986067175911,black
negro,white,0.568765874873884,white
west,east,0.5574118101709014,black
north,south,0.551971150304057,white
win,war,0.5055605360439209,black
divide,fall,0.49162220744839236,black
force,arm,0.4806474609857348,black
north,south,0.4779323862663222,black
win,war,0.46679162670991126,white
white,negro,0.4563640463381727,black
plant,defense,0.44510676156583623,white
marry,singl,0.4248670444951522,white
white,color,0.42128286642584706,white
ride,bus,0.4158048018465402,black
cook,food,0.4120419521930599,white
branch,service,0.39209841841131976,white
life,civilian,0.384720650479668,white
defense,plant,0.3825063040422676,black
basic,train,0.3789106679141939,white
white,color,0.3784758610822135,black
singl,child,0.3605263203934004,white
service,branch,0.3522901012359003,black
white,black-man,0.34936342038776386,black
divide,stand,0.3438979764486451,black
child,wife,0.33998657245946623,black
white,people,0.3395563955238588,black
commiss,office,0.3345506553801241,white
color,race,0.3334077698784609,white
south,black-man,0.3307957818823043,black
uniform,wear,0.33012749263003166,black
marry,family,0.3276259779470845,white
low,morale,0.3266237655747436,black
marry,wife,0.3249578369260264,white
day,pass,0.3218386456216779,white
south,white,0.3191601174382425,black
equal,right,0.318499301960913,black
creed,race,0.31694929576702413,black
white,people,0.31561632745444634,white
company,command,0.3138590241535496,black
furlough,month,0.31375865015197785,white
negro,fight,0.3131097048485955,black
negro,race,0.31276083266394106,white
life,civilian,0.3042678224925784,black
wife,marry,0.30133319453241425,black
white,separate,0.29789791975493135,white
south,negro,0.29712674664908223,black
war,negro,0.2944534171536157,black
school,mechanic,0.29433567927322063,white
war,fight,0.28927620840738294,black
pass,week,0.2890291475983982,white
white,fight,0.2882178913747736,black
negro,separate,0.28690448747865666,white
war,fight,0.28676329947069656,white
white,race,0.2862222384273522,white
lord,pray,0.28512445055075414,black
furlough,month,0.2841734243915231,black
military-police,beat,0.2831001697981478,black
close,home,0.282959715098184,white
camp,town,0.28119655425711637,black
sick,doctor,0.2809207690444175,black
defense,age,0.27701623349889587,black
speech,freedom,0.27495662735884713,black
life,army,0.27464444456751885,white
negro,white-man,0.27421812062520834,white
service,limit,0.27409470786756807,white
defense,limit,0.27288172605859445,white
commiss,office,0.2721236896925669,black
close,station,0.2719601759169824,white
company,office,0.27135612612172294,black
food,eat,0.27105520092523294,white
office,company,0.2700010992179096,white
fight,freedom,0.2692541366947342,white
fall,stand,0.2687647216544266,black
negro,white-man,0.26827486557972824,black
marry,child,0.2669420620961204,white
educate,opportunity,0.26678927670483804,white
office,enlist,0.2661358673691224,white
organ,system,0.265196217661214,white
field,battl,0.2637959754108493,black
worth,damn,0.2633182171008936,black
express,opinion,0.2589354371308549,black
