id,label,bw_count,bw_diff,bw_which,b_count,w_count,louvain,fstgrdy
army,army,1707,413,black,1060,647,19,2
soldier,soldier,1276,478,black,877,399,4,3
war,war,1250,618,black,934,316,19,7
time,time,654,156,black,405,249,5,6
office,office,763,293,black,528,235,9,1
service,service,400,6,black,203,197,3,14
job,job,438,46,black,242,196,19,2
train,train,423,67,black,245,178,5,6
outfit,outfit,344,2,white,171,173,14,11
negro,negro,1537,1205,black,1371,166,4,7
home,home,532,216,black,374,158,5,6
life,life,366,86,black,226,140,19,2
chance,chance,599,327,black,463,136,9,1
company,company,353,87,black,220,133,9,1
camp,camp,577,313,black,445,132,18,3
feel,feel,450,190,black,320,130,19,2
fight,fight,780,524,black,652,128,19,7
country,country,454,242,black,348,106,19,7
people,people,555,347,black,451,104,4,7
food,food,175,23,white,76,99,14,11
civilian,civilian,200,18,black,109,91,19,2
idea,idea,200,22,black,111,89,6,12
day,day,250,80,black,165,85,5,6
month,month,181,11,black,96,85,5,6
white,white,1143,979,black,1061,82,4,7
furlough,furlough,169,7,black,88,81,5,6
pass,pass,193,35,black,114,79,5,6
week,week,130,22,white,54,76,5,6
rate,rate,110,40,white,35,75,9,1
win,win,345,199,black,272,73,19,7
hard,hard,195,59,black,127,68,1,2
branch,branch,114,18,white,48,66,3,14
enlist,enlist,116,10,white,53,63,9,1
person,person,143,17,black,80,63,9,1
fair,fair,258,134,black,196,62,9,1
opinion,opinion,131,7,black,69,62,6,12
live,live,253,131,black,192,61,19,7
duti,duti,130,14,black,72,58,5,6
morale,morale,140,24,black,82,58,13,17
school,school,127,19,black,73,54,9,1
ability,ability,118,12,black,65,53,9,1
poor,poor,149,47,black,98,51,18,3
farm,farm,113,13,black,63,50,1,2
marry,marry,81,19,white,31,50,5,6
south,south,739,639,black,689,50,4,7
treat,treat,563,467,black,515,48,4,7
experi,experi,65,29,white,18,47,9,1
bad,bad,235,143,black,189,46,4,7
eat,eat,120,30,black,75,45,14,11
field,field,103,15,black,59,44,9,1
line,line,85,3,white,41,44,18,2
town,town,213,127,black,170,43,18,3
run,run,82,2,white,40,42,9,1
satisfi,satisfi,64,20,white,22,42,3,2
combat,combat,112,32,black,72,40,5,6
govern,govern,131,51,black,91,40,19,6
physic,physic,68,12,white,28,40,5,6
care,care,134,56,black,95,39,2,15
corp,corp,85,7,black,46,39,3,14
hope,hope,252,174,black,213,39,19,7
air,air,96,20,black,58,38,3,14
wife,wife,101,25,black,63,38,5,6
call,call,112,38,black,75,37,4,7
